Occupational Interest,Job Zone,Code,Occupation
24,1-2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
24,1-2,31-9099.02,Endoscopy Technicians
24,1-2,47-5081.00,Helpers--Extraction Workers
24,4,27-1025.00,Interior Designers
24,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
24,1-2,51-9197.00,Tire Builders
23,3,53-2022.00,Airfield Operations Specialists
23,1-2,51-7011.00,Cabinetmakers and Bench Carpenters
23,1-2,47-2061.00,Construction Laborers
23,3,19-4013.00,Food Science Technicians
23,3,19-4092.00,Forensic Science Technicians
23,1-2,51-5112.00,Printing Press Operators
23,1-2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
23,4,53-6051.00,Transportation Inspectors
22,3,53-2021.00,Air Traffic Controllers
22,1-2,53-1041.00,Aircraft Cargo Handling Supervisors
22,3,27-4031.00,"Camera Operators, Television, Video, and Film"
22,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
22,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
22,1-2,47-2121.00,Glaziers
22,3,29-2092.00,Hearing Aid Specialists
22,1-2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
22,1-2,47-2151.00,Pipelayers
22,1-2,53-5011.00,Sailors and Marine Oilers
21,1-2,53-6031.00,Automotive and Watercraft Service Attendants
21,4,19-4021.00,Biological Technicians
21,1-2,53-7011.00,Conveyor Operators and Tenders
21,1-2,53-7041.00,Hoist and Winch Operators
21,1-2,31-9093.00,Medical Equipment Preparers
21,3,29-1126.00,Respiratory Therapists
21,5,19-3051.00,Urban and Regional Planners
20,1-2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
20,1-2,53-6032.00,Aircraft Service Attendants
20,1-2,47-2021.00,Brickmasons and Blockmasons
20,1-2,53-6011.00,Bridge and Lock Tenders
20,1-2,47-2051.00,Cement Masons and Concrete Finishers
20,4,15-1243.01,Data Warehousing Specialists
20,4,15-1243.00,Database Architects
20,5,29-1021.00,"Dentists, General"
20,1-2,51-3092.00,Food Batchmakers
20,4,19-1032.00,Foresters
20,4,15-1299.09,Information Technology Project Managers
20,1-2,45-4022.00,Logging Equipment Operators
20,5,29-1151.00,Nurse Anesthetists
20,1-2,41-2022.00,Parts Salespersons
20,1-2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
20,1-2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
20,1-2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
19,1-2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
